pokedex_number,name,generation,type1,type2,against_normal,against_grass,against_fire,against_water,against_electric,against_ice,against_fight,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy,hp,attack,defense,sp_attack,sp_defense,speed,height_m,weight_kg,is_legendary,base_egg_steps,capture_rate,experience_growth
1,Bulbasaur,1,grass,poison,1,0.25,2,0.5,0.5,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,45,49,49,65,65,45,0.7,6.9,0,5120,45,1059860
2,Ivysaur,1,grass,poison,1,0.25,2,0.5,0.5,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,60,62,63,80,80,60,1.0,13.0,0,5120,45,1059860
3,Venusaur,1,grass,poison,1,0.25,2,0.5,0.5,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,80,82,83,100,100,80,2.0,100.0,0,5120,45,1059860
3,Mega Venusaur,6,grass,poison,1,0.25,2,0.5,0.5,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,80,100,123,122,120,80,2.4,155.5,0,5120,45,1059860
4,Charmander,1,fire,,1,0.5,0.5,2,1,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,39,52,43,60,50,65,0.6,8.5,0,5120,45,1059860
5,Charmeleon,1,fire,,1,0.5,0.5,2,1,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,58,64,58,80,65,80,1.1,19.0,0,5120,45,1059860
6,Charizard,1,fire,flying,1,0.25,0.5,2,2,1,0.5,1,0,1,1,0.25,4,1,1,1,0.5,0.5,78,84,78,109,85,100,1.7,90.5,0,5120,45,1059860
6,Mega Charizard X,6,fire,dragon,1,0.25,0.25,1,0.5,1,1,1,2,1,1,0.5,2,1,2,1,0.5,1,78,130,111,130,85,100,1.7,110.5,0,5120,45,1059860
6,Mega Charizard Y,6,fire,flying,1,0.25,0.5,2,2,1,0.5,1,0,1,1,0.25,4,1,1,1,0.5,0.5,78,104,78,159,115,100,1.7,100.5,0,5120,45,1059860
7,Squirtle,1,water,,1,2,0.5,0.5,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,44,48,65,50,64,43,0.5,9.0,0,5120,45,1059860
